file,lines,props_interfaces,use_state,use_effect,use_query,use_mutation,total_hooks,complexity_score
"features/noise/components/SignalNoiseCard.tsx",459,3,2,1,1,0,4,17
"shared/patterns/CardActions.tsx",446,4,0,0,0,0,0,12
"pages/SettingsPage/components/SettingsCard.tsx",351,2,1,0,1,0,2,11
"features/projects/components/ProjectCard.tsx",237,1,0,0,0,0,0,5
"shared/patterns/CardWithStatus.tsx",232,2,0,0,0,0,0,6
"features/agents/components/AgentCard.refactored.tsx",215,1,0,0,0,0,0,5
"shared/components/MetricCard/MetricCard.tsx",210,2,0,0,0,0,0,6
"features/atoms/components/AtomCard.tsx",186,1,1,0,0,0,1,5
"features/agents/components/AgentCard.tsx",174,1,0,0,0,0,0,4
"pages/MessagesPage/MessageCard.tsx",172,1,0,0,1,0,1,5
"features/monitoring/components/ScoringAccuracyCard.tsx",155,1,0,0,1,0,1,5
"features/monitoring/components/HealthCards.tsx",124,1,0,0,1,0,1,4
"features/search/components/MessageSearchCard.tsx",114,1,0,0,0,0,0,3
"features/search/components/TopicSearchCard.tsx",109,1,0,0,0,0,0,3
"features/automation/components/AutomationStatsCards.tsx",91,1,0,0,0,0,0,2
"pages/SettingsPage/plugins/TelegramSource/TelegramCard.tsx",87,0,2,0,1,0,3,5
"pages/SettingsPage/components/SourceCard.tsx",78,1,0,0,0,0,0,2
"features/performance/components/WebVitalsCards.tsx",56,1,0,0,0,0,0,2
"pages/SettingsPage/plugins/TelegramSource/components/InstructionsCard.tsx",56,0,0,0,0,0,0,1
"pages/SettingsPage/plugins/TelegramSource/components/BotInfoCard.tsx",52,0,0,0,0,0,0,1
